0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
197701401,101,Wesley e os Safadões,2,H(H),C++11,a.cpp,judged,teambrbr4 (101),YES
198273802,101,Turkeys,3,H(H),C++11,H.cpp,judged,teambrbr42 (101),YES
198320203,101,fuze,3,H(H),C++11,H.cpp,judged,teambrbr14 (101),YES
198342704,101,Ops! Solução Trivial,3,H(H),C++11,a.cpp,judged,teambrbr41 (101),YES
198447905,101,Cvaicomnois kazuya,4,H(H),C++11,H.cpp,judged,teambrbr51 (101),YES
198475606,101,CalopsITA,4,H(H),C++11,H.cpp,judged,teambrbr56 (101),YES
198503107,101,Bira e seus craques,4,H(H),C++11,H.cpp,judged,teambrbr54 (101),YES
198728208,101,Ahozinho com Feijão,4,H(H),C++11,H.cpp,judged,teambrbr64 (101),YES
198740009,101,URI Luminatti,4,H(H),C++11,h.cpp,judged,teambrbr32 (101),YES
198956310,101,Algum Ritmo,4,H(H),C++11,h.cpp,judged,teambrbr26 (101),YES
199039711,101,VDC,5,H(H),C++11,h.cpp,judged,teambrbr23 (101),YES
199083712,101,Se juntas causa imagina juntas,5,H(H),C++11,H.cpp,judged,teambrbr61 (101),YES
199088213,101,Nuclear Coders,5,H(H),C++11,h.cpp,judged,teambrbr72 (101),YES
199197314,101,Traveling Balloonsmen,5,H(H),C++11,a.cpp,judged,teambrbr67 (101),YES
199338115,101,Esse é meu time,5,H(H),C++11,h.cpp,judged,teambrbr29 (101),YES
199377516,101,Bit Please,5,H(H),C++11,H.cpp,judged,teambrbr50 (101),YES
199689617,101,Gemidão da Maratona,6,H(H),C++11,h.cpp,judged,teambrbr68 (101),YES
199832418,101,stormtroop3rs [C],6,H(H),C++11,template.cpp,judged,teambrbr66 (101),YES
199844819,101,dog hits dog,6,H(H),C++11,H.cpp,judged,teambrbr69 (101),YES
199857520,101,NP-Drada,6,H(H),C++11,h.cpp,judged,teambrbr59 (101),YES
200074621,101,C ilá,6,H(H),C++11,H.cpp,judged,teambrbr16 (101),YES
200082422,101,Monkeys,6,H(H),C++11,H.cpp,judged,teambrbr53 (101),YES
200120123,101,Teorema de Offson,6,H(H),C++11,H.cpp,judged,teambrbr34 (101),YES
200247424,101,Veteranos Bolados,7,H(H),C++11,H.cpp,judged,teambrbr37 (101),YES
200251525,101,Trupe da Biologia,7,H(H),C++11,h.cpp,judged,teambrbr18 (101),YES
200454126,101,YouShallNot.cpp,7,H(H),C++11,H.cpp,judged,teambrbr5 (101),YES
200471327,101,Choose difficulty: TITAN,7,H(H),C++11,H.cpp,judged,teambrbr3 (101),YES
200475028,101,Tô Nem Vendo,7,H(H),C++11,h.cpp,judged,teambrbr2 (101),YES
200501329,101,vai_na.sort(),7,H(H),C++11,h.cpp,judged,teambrbr22 (101),YES
200585130,101,NULL 1,7,H(H),Java,H.java,judged,teambrbr30 (101),YES
200740631,101,CEFETIM,7,H(H),Java,H.java,judged,teambrbr57 (101),YES
200865532,101,"¯\\_( ""/ )_/¯",8,H(H),C++11,H.cpp,judged,teambrbr44 (101),YES
200986333,101,Invictus,8,H(H),C++11,h.cpp,judged,teambrbr33 (101),YES
200999534,101,100^o,8,H(H),C++11,h.cpp,judged,teambrbr40 (101),YES
201068035,101,while(1),8,H(H),C++11,H.cpp,judged,teambrbr15 (101),YES
201439236,101,Time da Jaula,9,H(H),C++11,h.cpp,judged,teambrbr25 (101),YES
201629537,101,Lorem Ipsum,9,H(H),C++11,h.cpp,judged,teambrbr13 (101),YES
201675438,101,C-3PO,9,H(H),C++11,h.cpp,judged,teambrbr17 (101),YES
201734439,101,Ginga com Tapioca,9,H(H),C++11,H.cpp,judged,teambrbr48 (101),YES
201831040,101,Over9k,9,H(H),C++11,H.cpp,judged,teambrbr49 (101),YES
201869241,101,aBNT Tigers,9,H(H),C++11,H.cpp,judged,teambrbr21 (101),YES
201941842,101,O Legado de Maldito,9,H(H),C++11,h.cpp,judged,teambrbr39 (101),YES
202092643,101,"One balloon at a time, please!",10,H(H),C++11,h.cpp,judged,teambrbr46 (101),YES
202168244,101,Teoria dos Papibaquígrafos,10,H(H),C++11,h.cpp,judged,teambrbr36 (101),YES
202180145,101,Trei Linha,10,E(E),C++11,e.cpp,judged,teambrbr55 (101),YES
202225246,101,Cafeína Overflow,10,H(H),C++11,H.cpp,judged,teambrbr27 (101),YES
202419947,101,Ceferberus,10,H(H),C++11,h.cpp,judged,teambrbr8 (101),YES
202452848,101,That Was Easy,10,H(H),C++11,H.cpp,judged,teambrbr62 (101),YES
202544749,101,Skynet dos Pampas,10,H(H),C++11,H.cpp,judged,teambrbr6 (101),YES
202676450,101,Six Balls,11,H(H),C++11,h.cpp,judged,teambrbr31 (101),YES
202773451,101,Array of Thrones,11,H(H),Java,H.java,judged,teambrbr65 (101),YES
202880652,101,D_bug,11,H(H),C++11,H.cxx,judged,teambrbr28 (101),YES
202965753,101,Só queria fazer joguinho,11,H(H),Python3,H.py3,judged,teambrbr63 (101),YES
203147654,101,BugBusters,11,H(H),C++11,h.cpp,judged,teambrbr58 (101),YES
203284755,101,TLEfobia,12,H(H),C++11,main.cpp,judged,teambrbr70 (101),YES
203344156,101,ALT,12,H(H),C++11,h.cpp,judged,teambrbr12 (101),YES
203750257,101,Desistiu???,12,H(H),C++11,h.cpp,judged,teambrbr1 (101),YES
203971058,101,Access Violation,13,H(H),C++11,H.cpp,judged,teambrbr52 (101),YES
204103159,101,O importante é não zerar!,13,H(H),C++11,H.cpp,judged,teambrbr19 (101),YES
204189160,101,bit please;,13,H(H),C++11,H.cpp,judged,teambrbr71 (101),YES
204196461,101,UNESP Bauru,13,H(H),C++11,h.cpp,judged,teambrbr11 (101),YES
204262262,101,Veteranos Bolados,13,C(C),C++11,C.cpp,judged,teambrbr37 (101),NO - Wrong answer
204333863,101,#include __FILE__,13,H(H),C++11,h.cpp,judged,teambrbr35 (101),YES
204350764,101,ALT,13,C(C),C++11,c.cpp,judged,teambrbr12 (101),YES
204366065,101,Simone e Simara UFMA,13,H(H),C++11,H.cpp,judged,teambrbr9 (101),NO - Wrong answer
204568266,101,NUll TItle,14,H(H),Python3,H.py3,judged,teambrbr45 (101),YES
204726567,101,Trei Linha,14,H(H),C++11,h.cpp,judged,teambrbr55 (101),YES
204831568,101,Ginga com Tapioca,14,C(C),C++11,C.cpp,judged,teambrbr48 (101),YES
205880969,101,80km é 80km @do,16,H(H),C++11,H.cpp,judged,teambrbr60 (101),YES
205893970,101,Nome Provisório,16,H(H),C++11,H.cpp,judged,teambrbr38 (101),YES
207516271,101,Ops! Solução Trivial,19,C(C),C++11,a.cpp,judged,teambrbr41 (101),YES
207565072,101,Dragon Ball C,19,H(H),Python3,h.py,judged,teambrbr10 (101),YES
208185173,101,Veteranos Bolados,20,C(C),C++11,C.cpp,judged,teambrbr37 (101),NO - Wrong answer
208500774,101,Javainois,20,H(H),Java,H.java,judged,teambrbr7 (101),YES
208524675,101,Esse é meu time,20,C(C),C++11,c.cpp,judged,teambrbr29 (101),YES
208586076,101,"¯\\_( ""/ )_/¯",20,C(C),C++11,C.cpp,judged,teambrbr44 (101),YES
208853177,101,Choose difficulty: TITAN,21,C(C),C++11,C.cpp,judged,teambrbr3 (101),YES
208953078,101,Lorem Ipsum,21,C(C),C++11,c.cpp,judged,teambrbr13 (101),NO - Wrong answer
209008779,101,Teoria dos Papibaquígrafos,21,C(C),C++11,c.cpp,judged,teambrbr36 (101),YES
209121880,101,C de Carrasco,21,H(H),C++11,H.cpp,judged,teambrbr20 (101),YES
209306881,101,Tô Nem Vendo,22,E(E),C++11,E.cpp,judged,teambrbr2 (101),YES
209474582,101,dog hits dog,22,C(C),C++11,C.cpp,judged,teambrbr69 (101),YES
209667983,101,Teorema de Offson,22,E(E),C++11,E.cpp,judged,teambrbr34 (101),YES
209852184,101,VDC,23,F(F),C++11,f.cpp,judged,teambrbr23 (101),NO - Wrong answer
210762385,101,Monkeys,24,C(C),C++11,C.cpp,judged,teambrbr53 (101),YES
210885786,101,NP-Drada,24,C(C),C++11,f.cpp,judged,teambrbr59 (101),YES
211485787,101,Se juntas causa imagina juntas,25,E(E),C++11,E.cpp,judged,teambrbr61 (101),YES
211529188,101,Lorem Ipsum,25,C(C),C++11,c.cpp,judged,teambrbr13 (101),NO - Wrong answer
211794889,101,Veteranos Bolados,26,C(C),C++11,C.cpp,judged,teambrbr37 (101),NO - Time limit exceeded
211981190,101,Simone e Simara UFMA,26,H(H),C++11,H.cpp,judged,teambrbr9 (101),YES
212152091,101,stormtroop3rs [C],26,C(C),C++11,C.cpp,judged,teambrbr66 (101),NO - Wrong answer
212228792,101,100^o,27,E(E),C++11,e.cpp,judged,teambrbr40 (101),YES
212238493,101,RALÔTIM,27,H(H),Java,H.java,judged,teambrbr47 (101),YES
212674694,101,Ahozinho com Feijão,27,C(C),C++11,C.cpp,judged,teambrbr64 (101),YES
212987095,101,Trupe da Biologia,28,C(C),C++11,c.cpp,judged,teambrbr18 (101),NO - Wrong answer
213028196,101,CalopsITA,28,C(C),C++11,C.cpp,judged,teambrbr56 (101),NO - Wrong answer
213804897,101,Algum Ritmo,29,C(C),C++11,C.cpp,judged,teambrbr26 (101),YES
213967798,101,Ginga com Tapioca,29,E(E),C++11,E.cpp,judged,teambrbr48 (101),YES
214084899,101,"¯\\_( ""/ )_/¯",30,E(E),C++11,E.cpp,judged,setter5 (1),NO - Output format error
214123500,101,Bira e seus craques,30,C(C),C++11,C.cpp,judged,teambrbr54 (101),YES
214211101,101,Tô Nem Vendo,30,C(C),C++11,c.cpp,judged,teambrbr2 (101),YES
214675802,101,URI Luminatti,31,C(C),C++11,c.cpp,judged,teambrbr32 (101),NO - Wrong answer
